,gene_id,allele,percentage
0,IGHV1-18,01,80.028129395218
1,IGHV1-18,04,19.831223628691983
2,IGHV1-18,03,0.14064697609001406
3,IGHV1-2,02,74.11167512690355
4,IGHV1-2,04,12.18274111675127
5,IGHV1-2,06,7.741116751269035
6,IGHV1-2,07,5.456852791878172
7,IGHV1-2,05,0.3807106598984772
8,IGHV1-2,01,0.12690355329949238
9,IGHV1-24,01,100.0
10,IGHV1-3,01,84.61538461538461
11,IGHV1-3,04,13.736263736263737
12,IGHV1-3,03,1.098901098901099
13,IGHV1-3,05,0.5494505494505495
14,IGHV1-45,02,100.0
15,IGHV1-46,01,86.45161290322581
16,IGHV1-46,02,6.774193548387098
17,IGHV1-46,03,3.870967741935484
18,IGHV1-46,04,2.903225806451613
19,IGHV1-58,01,63.63636363636363
20,IGHV1-58,02,36.36363636363637
21,IGHV1-69,01,44.07582938388626
22,IGHV1-69,06,30.410742496050553
23,IGHV1-69,04,4.897314375987362
24,IGHV1-69,12,4.502369668246446
25,IGHV1-69,09,4.265402843601896
26,IGHV1-69,02,2.6856240126382307
27,IGHV1-69,18,1.4218009478672986
28,IGHV1-69,08,1.263823064770932
29,IGHV1-69,11,0.9478672985781991
30,IGHV1-69,13,0.9478672985781991
31,IGHV1-69,15,0.8688783570300158
32,IGHV1-69,16,0.7898894154818324
33,IGHV1-69,17,0.7898894154818324
34,IGHV1-69,14,0.631911532385466
35,IGHV1-69,19,0.5529225908372828
36,IGHV1-69,10,0.47393364928909953
37,IGHV1-69,05,0.47393364928909953
38,IGHV1-69-2,01,100.0
39,IGHV1-8,01,83.06451612903226
40,IGHV1-8,02,12.903225806451612
41,IGHV1-8,03,4.032258064516129
42,IGHV1/OR15-1,04,100.0
43,IGHV2-26,01,100.0
44,IGHV2-5,02,72.62569832402235
45,IGHV2-5,01,25.69832402234637
46,IGHV2-5,04,0.5586592178770949
47,IGHV2-5,09,0.5586592178770949
48,IGHV2-5,08,0.5586592178770949
49,IGHV2-70,01,31.11111111111111
50,IGHV2-70,15,26.666666666666668
51,IGHV2-70,04,15.555555555555555
52,IGHV2-70,13,10.0
53,IGHV2-70,11,8.88888888888889
54,IGHV2-70,20,4.444444444444445
55,IGHV2-70,17,2.2222222222222223
56,IGHV2-70,16,1.1111111111111112
57,IGHV3-11,01,50.806451612903224
58,IGHV3-11,06,23.387096774193548
59,IGHV3-11,05,17.741935483870968
60,IGHV3-11,04,5.64516129032258
61,IGHV3-11,03,2.4193548387096775
62,IGHV3-13,01,83.13253012048193
63,IGHV3-13,04,12.048192771084338
64,IGHV3-13,05,4.819277108433735
65,IGHV3-15,01,79.94505494505495
66,IGHV3-15,07,10.989010989010989
67,IGHV3-15,05,4.395604395604396
68,IGHV3-15,02,3.021978021978022
69,IGHV3-15,04,1.098901098901099
70,IGHV3-15,06,0.5494505494505495
71,IGHV3-20,04,74.6268656716418
72,IGHV3-20,01,25.37313432835821
73,IGHV3-21,01,82.43243243243244
74,IGHV3-21,06,11.003861003861005
75,IGHV3-21,03,2.3166023166023164
76,IGHV3-21,04,2.1235521235521233
77,IGHV3-21,02,2.1235521235521233
78,IGHV3-23,01,77.37737737737737
79,IGHV3-23,04,21.02102102102102
80,IGHV3-23,05,0.9009009009009009
81,IGHV3-23,03,0.7007007007007007
82,IGHV3-30,18,44.53280318091451
83,IGHV3-30,04,23.1610337972167
84,IGHV3-30,03,13.717693836978132
85,IGHV3-30,02,8.548707753479125
86,IGHV3-30,01,4.174950298210735
87,IGHV3-30,14,2.1868787276341948
88,IGHV3-30,19,1.3916500994035785
89,IGHV3-30,09,1.0934393638170974
90,IGHV3-30,16,0.2982107355864811
